timestamp,frame_no,vehicle_id,vehicle_class,plate,confidence,speed_kmh
2025-08-22 04:11:33,212,6,car,KhoS ZzK,0.25,72.45
2025-08-22 04:11:34,213,4,car,Apos Jeo),0.13,45.82
2025-08-22 04:11:34,213,6,car,KHOS ZZK,0.28,80.28
2025-08-22 04:11:34,214,4,car,Apos Jeo,0.49,68.73
2025-08-22 04:11:34,214,6,car,KHOSZZK,0.37,99.13
2025-08-22 04:11:35,215,6,car,KHOS ZZK,0.24,61.57
2025-08-22 04:11:35,216,4,car,Apos Jeo,0.61,54.00
2025-08-22 04:11:35,216,6,car,Khos ZZk,0.21,81.72
2025-08-22 04:11:36,217,4,car,Apo5 Jeo,0.52,61.57
2025-08-22 04:11:36,217,6,car,CHOSZZK,0.31,87.91
2025-08-22 04:11:36,218,4,car,Apos5 Jeo,0.24,41.13
2025-08-22 04:11:36,218,6,car,KHOSZZK,0.21,63.21
2025-08-22 04:11:37,219,4,car,Apos Jeo,0.67,65.02
2025-08-22 04:11:37,219,6,car,KHOSZZK,0.26,106.50
2025-08-22 04:11:37,220,6,car,CESZZK,0.11,111.32
2025-08-22 04:11:37,221,6,car,COEZZK,0.16,91.64
2025-08-22 04:11:38,222,6,car,CHE,0.33,97.35
2025-08-22 04:11:39,223,6,car,Khos ZZK,0.12,91.96
2025-08-22 04:11:39,223,47,car,Lroz Fkd,0.09,66.79
2025-08-22 04:11:39,224,6,car,COSZ,0.22,70.20
2025-08-22 04:11:39,224,47,car,Vro? Fkd,0.13,38.18
2025-08-22 04:11:40,225,6,car,D,0.14,87.24
2025-08-22 04:11:40,226,6,car,DZ,0.10,113.91
2025-08-22 04:11:41,226,47,car,Had? Fkd,0.14,82.25
2025-08-22 04:11:41,227,6,car,6Fl$,0.00,58.41
2025-08-22 04:11:42,228,6,car,Khos Z7k,0.42,103.73
2025-08-22 04:11:42,229,6,car,Khos Z76,0.15,81.00
2025-08-22 04:11:43,230,6,car,LHEEl,0.03,54.00
2025-08-22 04:11:43,231,6,car,Khds ZZ4,0.10,108.67
2025-08-22 04:11:44,231,47,car,UrozFkd,0.27,85.38
2025-08-22 04:11:44,232,6,car,Khds Z76,0.13,111.32
2025-08-22 04:11:44,232,47,car,Uroz FKd,0.06,75.21
2025-08-22 04:11:44,233,6,car,Khos ZZK,0.36,61.57
2025-08-22 04:11:44,233,47,car,Vroz Fkd,0.24,48.90
2025-08-22 04:11:45,234,6,car,Khos ZZK,0.48,123.38
2025-08-22 04:11:45,234,47,car,Uro?FkO,0.12,66.79
2025-08-22 04:11:45,235,6,car,Khds ZZK,0.78,111.19
2025-08-22 04:11:45,235,47,car,WrO? FKD,0.25,81.18
2025-08-22 04:11:46,236,6,car,KhDs ZZK,0.23,61.57
2025-08-22 04:11:46,236,47,car,cotd,0.15,44.53
2025-08-22 04:11:46,237,6,car,RHOS ZZK,0.37,39.31
2025-08-22 04:11:46,237,47,car,UROZ FkD,0.14,72.04
2025-08-22 04:11:47,238,6,car,Khos ZZK,0.58,111.32
2025-08-22 04:11:47,238,47,car,NROZFKD,0.07,97.35
2025-08-22 04:11:47,239,6,car,K4os ZZK,0.29,79.73
2025-08-22 04:11:47,239,47,car,UROzFKD,0.09,48.90
2025-08-22 04:11:48,240,6,car,K405 ZZK,0.19,76.75
2025-08-22 04:11:48,240,47,car,NROZFkD,0.06,89.87
2025-08-22 04:11:48,241,6,car,RDS ZZU,0.17,55.60
2025-08-22 04:11:48,241,47,car,Wroz FKD,0.67,103.87
2025-08-22 04:11:49,242,6,car,Kh05 ZIK,0.49,42.18
2025-08-22 04:11:49,242,16,car,DOnC,0.03,51.23
2025-08-22 04:11:49,242,47,truck,WrOz FKD,0.37,65.02
2025-08-22 04:11:49,243,6,car,KH05ZZK,0.17,69.15
2025-08-22 04:11:49,243,47,car,wrozFkD,0.30,70.20
2025-08-22 04:11:50,244,6,car,QZK,0.23,72.65
2025-08-22 04:11:50,244,47,car,Wroz FKD,0.24,72.04
2025-08-22 04:11:50,245,6,car,KK05 Z1K,0.13,41.13
2025-08-22 04:11:50,245,16,car,EYELHEG,0.12,53.18
2025-08-22 04:11:51,245,47,car,Wroz FKD,0.29,57.40
2025-08-22 04:11:51,246,6,car,Kkos ZIK,0.16,54.00
2025-08-22 04:11:51,246,16,car,EY6LNEG,0.20,54.00
2025-08-22 04:11:51,246,47,car,WaozFkd,0.12,38.94
2025-08-22 04:11:52,247,6,car,Khos ZzK,0.26,54.00
2025-08-22 04:11:52,247,16,car,EY611bG,0.02,43.54
2025-08-22 04:11:52,247,47,car,Wroz FKO,0.35,72.04
2025-08-22 04:11:52,248,16,car,EyelnaG,0.08,38.94
2025-08-22 04:11:52,248,47,car,Wroz FKD,0.58,49.79
2025-08-22 04:11:53,249,6,car,KHOSZZK,0.61,70.20
2025-08-22 04:11:53,249,16,car,EY6INEG,0.11,65.69
2025-08-22 04:11:53,249,47,car,[ozekd,0.13,72.04
2025-08-22 04:11:53,250,16,car,Ebndg,0.08,46.14
2025-08-22 04:11:53,250,47,car,Lokd,0.11,82.60
2025-08-22 04:11:54,251,16,car,EYGINBG,0.21,46.14
2025-08-22 04:11:54,251,47,car,Wroz FKD,0.42,65.69
2025-08-22 04:11:55,252,16,car,EeINBG,0.10,53.18
2025-08-22 04:11:55,252,47,car,Wr02 FKD,0.50,78.63
2025-08-22 04:11:55,253,16,car,EYGINBG,0.15,121.83
2025-08-22 04:11:56,253,47,car,Crozekd,0.18,102.46
2025-08-22 04:11:56,254,16,car,EYEINBG,0.25,32.85
